STATION,NAME,DATE,TAVG
VNM00048820,"NOIBAI INTERNATIONAL, VN",3/30/2017,76
VNM00048820,"NOIBAI INTERNATIONAL, VN",3/31/2017,68
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/1/2017,71
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/2/2017,72
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/3/2017,73
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/4/2017,74
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/5/2017,74
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/6/2017,77
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/7/2017,77
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/8/2017,77
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/9/2017,79
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/10/2017,82
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/11/2017,83
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/12/2017,72
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/13/2017,74
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/14/2017,75
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/15/2017,78
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/16/2017,78
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/17/2017,78
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/18/2017,72
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/19/2017,81
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/20/2017,84
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/21/2017,80
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/22/2017,72
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/23/2017,71
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/24/2017,73
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/25/2017,78
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/26/2017,81
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/27/2017,73
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/28/2017,75
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/29/2017,77
VNM00048820,"NOIBAI INTERNATIONAL, VN",4/30/2017,78
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/1/2017,83
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/2/2017,84
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/3/2017,84
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/4/2017,85
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/5/2017,83
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/6/2017,80
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/7/2017,83
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/8/2017,84
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/9/2017,82
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/10/2017,83
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/11/2017,84
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/12/2017,77
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/13/2017,82
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/14/2017,83
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/15/2017,82
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/16/2017,84
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/17/2017,76
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/18/2017,72
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/19/2017,72
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/20/2017,80
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/21/2017,80
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/22/2017,85
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/23/2017,86
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/24/2017,81
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/25/2017,80
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/26/2017,80
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/27/2017,82
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/28/2017,83
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/29/2017,84
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/30/2017,84
VNM00048820,"NOIBAI INTERNATIONAL, VN",5/31/2017,86
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/1/2017,91
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/2/2017,94
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/3/2017,96
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/4/2017,95
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/5/2017,94
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/6/2017,84
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/7/2017,80
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/8/2017,85
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/9/2017,85
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/10/2017,84
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/11/2017,86
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/12/2017,86
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/13/2017,83
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/14/2017,82
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/15/2017,86
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/16/2017,85
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/17/2017,82
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/18/2017,82
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/19/2017,82
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/20/2017,85
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/21/2017,87
